1848,1,1860,1,1860,13,1848,13,icon
0,4,14,4,14,16,0,16,icon
1822,7,1835,7,1835,13,1822,13,icon
16,49,39,49,39,72,16,72,icon
93,49,116,49,116,72,93,72,icon
166,49,189,49,189,72,166,72,icon
199,52,216,52,216,68,199,68,icon
52,53,69,53,69,68,52,68,icon
139,53,155,53,155,69,139,69,icon
26,103,47,103,47,121,26,121,icon
757,105,774,105,774,122,757,122,icon
527,108,537,108,537,120,527,120,icon
992,108,1004,108,1004,120,992,120,icon
1225,107,1236,107,1236,120,1225,120,icon
1457,107,1470,107,1470,120,1457,120,icon
1690,107,1703,107,1703,120,1690,120,icon
25,123,49,123,49,146,25,146,icon
12,133,20,133,20,141,12,141,icon
520,143,532,143,532,155,520,155,icon
557,159,575,159,575,177,557,177,icon
557,183,575,183,575,201,557,201,icon
541,189,549,189,549,197,541,197,icon
557,207,575,207,575,225,557,225,icon
541,213,549,213,549,221,541,221,icon
557,231,575,231,575,249,557,249,icon
557,254,575,254,575,273,557,273,icon
541,261,549,261,549,269,541,269,icon
557,279,575,279,575,297,557,297,icon
541,285,549,285,549,293,541,293,icon
557,303,575,303,575,321,557,321,icon
541,309,549,309,549,317,541,317,icon
557,327,575,327,575,345,557,345,icon
541,333,549,333,549,341,541,341,icon
557,351,575,351,575,369,557,369,icon
541,357,549,357,549,365,541,365,icon
557,375,575,375,575,393,557,393,icon
1684,375,1698,375,1698,389,1684,389,icon
541,381,549,381,549,389,541,389,icon
1684,398,1697,398,1697,411,1684,411,icon
1798,398,1811,398,1811,411,1798,411,icon
557,399,575,399,575,417,557,417,icon
541,405,549,405,549,413,541,413,icon
1684,421,1697,421,1697,434,1684,434,icon
1798,421,1811,421,1811,434,1798,434,icon
557,423,575,423,575,441,557,441,icon
541,429,549,429,549,437,541,437,icon
557,447,575,447,575,465,557,465,icon
1691,447,1704,447,1704,460,1691,460,icon
541,453,549,453,549,461,541,461,icon
557,471,575,471,575,489,557,489,icon
541,477,549,477,549,485,541,485,icon
557,495,575,495,575,513,557,513,icon
541,501,549,501,549,509,541,509,icon
